Round,Date,Team 1,FT,HT,Team 2,∑FT,ET,P,Comments
Prelim. Round | Leg 1,(Sat) 16 Aug 1980 (W32),Budapest Honved SE › HUN (1),8-0,0-0,Valletta › MLT (1),,,,
Prelim. Round | Leg 2,(Wed) 3 Sep 1980 (W35),Valletta › MLT (2),0-3,0-0,Budapest Honved SE › HUN (2),0-11 (agg.),,,
Round 1 | Leg 1,(Tue) 16 Sep 1980 (W37),Linfield › NIR (1),0-1,0-1,FC Nantes › FRA (1),,,,
Round 1 | Leg 1,(Wed) 17 Sep 1980 (W37),Abderden › SCO (1),1-0,1-0,Austria Wien › AUT (1),,,,
Round 1 | Leg 1,(Wed) 17 Sep 1980 (W37),Dinamo Tirana › ALB (1),0-2,0-0,AFC Ajax › NED (1),,,,
Round 1 | Leg 1,(Wed) 17 Sep 1980 (W37),BFC Dynamo › GER (1),3-0,0-0,APOEL Nikosia › CYP (1),,,,
Round 1 | Leg 1,(Wed) 17 Sep 1980 (W37),IB Vestmannaeyja › ISL (1),1-1,1-1,Banik Ostrava › CZE (1),,,,
Round 1 | Leg 1,(Wed) 17 Sep 1980 (W37),Club Brugge › BEL (1),0-1,0-0,Basel › SUI (1),,,,
Round 1 | Leg 1,(Wed) 17 Sep 1980 (W37),Olympiacos › GRE (1),2-4,1-1,Bayern München › GER (1),,,,
Round 1 | Leg 1,(Wed) 17 Sep 1980 (W37),Sporting CP › POR (1),0-2,0-0,Budapest Honved SE › HUN (3),,,,
Round 1 | Leg 1,(Wed) 17 Sep 1980 (W37),Viking FK › NOR (1),2-3,1-0,Crvena Zvezda › SRB (1),,,,
Round 1 | Leg 1,(Wed) 17 Sep 1980 (W37),CSKA Sofia › BUL (1),1-0,0-0,Nottingham Forest FC › ENG (1),,,,
Round 1 | Leg 1,(Wed) 17 Sep 1980 (W37),Halmstads BK › SWE (1),0-0,0-0,Esbjerg fB › DEN (1),,,,
Round 1 | Leg 1,(Wed) 17 Sep 1980 (W37),Internazionale › ITA (1),2-0,1-0,FC Universitatea Craiova › ROU (1),,,,
Round 1 | Leg 1,(Wed) 17 Sep 1980 (W37),Jeunesse Esch › LUX (1),0-5,0-3,Spartak Moskva › RUS (1),,,,
Round 1 | Leg 1,(Wed) 17 Sep 1980 (W37),Limerick FC › IRL (1),1-2,0-0,Real Madrid CF › ESP (1),,,,
Round 1 | Leg 1,(Wed) 17 Sep 1980 (W37),OPS Oulu › FIN (1),1-1,0-1,Liverpool FC › ENG (1),,,,
Round 1 | Leg 1,(Wed) 17 Sep 1980 (W37),Trabzonspor AŞ › TUR (1),2-1,1-0,Szombierki Bytom › POL (1),,,,
Round 1 | Leg 2,(Wed) 1 Oct 1980 (W39),Austria Wien › AUT (2),0-0,0-0,Abderden › SCO (2),0-1 (agg.),,,
Round 1 | Leg 2,(Wed) 1 Oct 1980 (W39),AFC Ajax › NED (2),1-0,0-0,Dinamo Tirana › ALB (2),3-0 (agg.),,,
Round 1 | Leg 2,(Wed) 1 Oct 1980 (W39),APOEL Nikosia › CYP (2),2-1,1-0,BFC Dynamo › GER (2),2-4 (agg.),,,
Round 1 | Leg 2,(Wed) 1 Oct 1980 (W39),Banik Ostrava › CZE (2),1-0,1-0,IB Vestmannaeyja › ISL (2),2-1 (agg.),,,
Round 1 | Leg 2,(Wed) 1 Oct 1980 (W39),Basel › SUI (2),4-1,1-1,Club Brugge › BEL (2),5-1 (agg.),,,
